Class Name	Parent Class	YAML Class Name	Description	Flags	Slot Name	YAML Slot Name	Range	Card	Slot Description	URI
					isSpecified	AppropriatedCollateralValuation_isSpecified	Bool	1..1	The qualification of whether the Valuation of Appropriate Collateral provision is applicable (True) or not applicable (False).	common_domain_model:isSpecified
					election		str	0..1	The parties' election that qualify the Valuation of Appropriate Collateral in the case where it is deemed applicable.	common_domain_model:election
Asset		Asset	An Asset is defined as something that can be owned and transferred in the financial markets. As a choice data type, one and only one of the attributes must be used.							
AssetAgencyRating		AssetAgencyRating								
					assetAgencyRating		AgencyRatingCriteria	1..1	Represents an agency rating based on default risk and creditors claim in event of default associated with specific instrument.	common_domain_model:assetAgencyRating
AssetBase		AssetBase	The base data type to specify common attributes for all Assets.							
					identifier		AssetIdentifier	1..*	Asset Identifiers are used to uniquely identify an Asset, using a specified Asset Identifier Type.	common_domain_model:identifier
					taxonomy		Taxonomy	0..*	Defines the taxonomy of an object by combining a taxonomy source (i.e. the rules to classify the object) and a value (i.e. the output of those rules on the object.	common_domain_model:taxonomy
					isExchangeListed		Bool	0..1	Defines whether the Asset is listed on a public exchange.	common_domain_model:isExchangeListed
					exchange		LegalEntity	0..1	If the Asset is listed, defines the public exchange of the listing.	common_domain_model:exchange
					relatedExchange		LegalEntity	0..*	Provides the related Exchanges, if applicable.	common_domain_model:relatedExchange
					assetType		AssetTypeEnum	1..1	Specifies the type of asset.	common_domain_model:assetType
AssetCountryOfOrigin		AssetCountryOfOrigin								
					assetCountryOfOrigin	AssetCountryOfOrigin_assetCountryOfOrigin	ISOCountryCodeEnum	1..1	Represents a filter on the asset country of origin based on the ISO Standard 3166.	common_domain_model:assetCountryOfOrigin
AssetDeliveryInformation		AssetDeliveryInformation	Contains the information relative to the delivery of the asset.							
					periods		AssetDeliveryPeriods	0..1	Defines the periods of delivery, including the delivery profile.	common_domain_model:periods
					location	AssetDeliveryInformation_location	LocationIdentifier	0..*	Defines the location of the delivery of the commodity.	common_domain_model:location
